Weak Regression,Less Weak Regression,Weak Medium Regression,Medium Regression,Strong Medium Regression,Less Strong Regression,Strong Regression,Feature
9.563847682,4.176813545,2.815412885,0.331102414,0.252730427,0.000160835,0,800
0.394740262,0.312617612,0,0,0,0,0,800.5
4.631773018,1.455777042,0.642665327,0,0,0,0,801
4.934299939,1.902756489,1.241993148,0,0,0,0,801.5
2.762118589,1.340778579,0.875732329,0,0,0.044281387,0,802
0.103741827,0.431408919,0.071501313,0,0,0.013312307,0,802.5
2.455153218,0.304855119,0,0,0,0,0,803
3.311155809,0.660238433,0,0.141181585,0,0,0,803.5
2.542695832,0.564946045,0,0.395545005,0.011197271,0,0,804
0.305002935,0.031793996,0,0,0,0,0,804.5
1.797590214,0.397412717,0,0,0,0,0,805
3.234477898,0.567449837,0,0,0,0,0,805.5
3.330323858,0.574510207,0,0,0,0,0,806
1.779315104,0,0,0,0,0,0,806.5
0.434379762,0.478785776,0.194567609,0.035396331,0,0,0,807
2.56977477,1.044978809,0.8312701,0.62248383,0,0,0,807.5
3.982282386,1.297277682,0.779697632,0.051657406,0,0,0,808
4.059622885,1.144620726,0.185038185,0,0,0,0,808.5
2.782103451,0.555495405,0,0,0,0,0,809
0.852754428,0.073149998,0,0,0,0,0,809.5
1.322067757,0.573806729,0.025096878,0,0,0,0,810
2.982696806,0.908135686,0.482717018,0,0,0,0,810.5
3.473099389,1.061024662,0.364378156,0.174042642,0,0,0,811
2.857887625,0.77305873,0,0,0,0,0,811.5
1.237270409,0.235396043,0,0,0.006753186,0,0,812
0.565192505,0.069798884,0,0,0,0,0,812.5
2.074001252,0.566336123,0,0,0,0,0,813
2.586458412,0.716345366,0.091577997,0,0,0,0,813.5
2.146478029,0.58416227,0,0,0,0,0,814
0.880527384,0.275959741,0,0,0,0,0,814.5
0.515009192,0,0,0,0,0,0,815
1.701906411,0.354365647,0,0,0,0,0,815.5
2.254038733,0.611052271,0,0.183202878,0,0,0,816
1.838548999,0.499277933,0,0,0,0,0,816.5
0.75345846,0.230812757,0,0,0,0,0,817
0.495723212,0,0,0,0,0,0,817.5
1.535862343,0.203252767,0.017384526,0,0,0,0,818
2.328952205,0.722092662,0.51317876,0,0,0,0,818.5
2.137139732,0.824172302,0.548013283,0,0,0,0,819
1.35424076,0.74631311,0.088503729,0,0.000295927,0,0,819.5
0.360546469,0.492617284,0,0,0.107209838,0,0,820
0.52510342,0.106107715,0,0,0.027180039,0.034285643,0,820.5
1.057718863,0,0,0.055798518,0,0,0,821
1.251648138,0.373349209,0,0,0,0,0,821.5
1.320261268,0.643214097,0.40018891,0,0,0,0,822
1.159283057,0.849554938,0.678049628,0,0,0,0,822.5
0.941144518,0.890822125,0.534852426,0,0,0,0,823
0.548661716,0.658233536,0,0,0,0,0,823.5
0.096965778,0.26391277,0,0,0,0,0,824
0.474301236,0.012496004,0,0,0,0,0,824.5
1.200805852,0.699258953,0,0.230689828,0,0,0,825
2.023501753,1.325769455,0.99870425,0,0,0,0,825.5
2.589917506,1.631140348,1.434156802,0,0,0,0,826
2.614266745,1.544436344,0.916234864,0,0,0,0,826.5
1.820248248,1.048642978,0,0,0,0,0,827
0.39894843,0.112496771,0,0,0,0,0,827.5
1.124408482,0.57616095,0,0,0.110809846,0,0,828
2.473201251,1.335713317,0.81367521,0.034871768,0,0,0,828.5
3.082979446,1.790234622,1.510680273,0.259370801,0,0,0,829
2.818042119,1.631406464,1.178060971,0,0,0,0,829.5
2.065846697,1.106307997,0.106288224,0,0,0,0,830
1.123253945,0.330912458,0,0,0,0,0,830.5
0.256164414,0,0,0,0,0,0,831
0.339306018,0.584283293,0,0,0,0,0,831.5
0.968871475,0.999742116,0.566834779,0,0,0,0,832
1.715969909,1.243650426,1.092894892,0,0,0,0,832.5
2.646077793,1.330075263,1.067514277,0.193559565,0,0,0,833
3.358329044,1.216395804,0.459481572,0.216990105,0,0,0,833.5
3.330814902,0.856695695,0,0,0,0,0,834
2.289539865,0.253369375,0,0,0,0,0,834.5
0.667113939,0,0,0,0,0,0,835
1.188485143,0.708198119,0,0,0,0,0,835.5
2.727299926,1.005315359,0.492522189,0,0,0,0,836
3.422671107,1.079809078,0.586465889,0,0,0,0,836.5
3.138922438,0.810059836,0.086254416,0,0,0,0,837
2.116244772,0.308103107,0,0,0,0,0,837.5
0.590923076,0,0,0,0,0,0,838
0.75507338,0.275163011,0,0,0.05101396,0,0,838.5
1.992387849,0.710070519,0,0,0.066901109,0,0,839
2.706457184,0.946139045,0.214218719,0.111567396,0,0,0,839.5
2.735045439,0.899800035,0.52233733,0.218368232,0,0,0,840
1.942977248,0.497183136,0.47168916,0,0,0,0,840.5
0.889389808,0.096729896,0.258132323,0,0,0,0,841
0.202921141,0.036883471,0.005694195,0,0,0,0,841.5
1.021537119,0.128219049,0,0,0,0,0,842
1.25607135,0.122950125,0,0,0,0,0,842.5
0.864511088,0.070283976,0,0,0,0,0,843
0.152655124,0,0,0,0,0,0,843.5
0.327582999,0,0.067985346,0,0,0,0,844
0.499811513,0.101597441,0.039379369,0,0,0,0,844.5
0.441987001,0.196218067,0,0.010937525,0,0,0,845
0.090823015,0,0,0.142851254,0,0,0,845.5
0.415017308,0.028683524,0,0.209065172,0,0,0,846
0.39028057,0.080224447,0.094646156,0.069890304,0,0,0,846.5
0.179724934,0.249429267,0.299334386,0,0,0,0,847
1.167730855,0.391836021,0.383522456,0,0,0,0,847.5
1.979099748,0.459497561,0.211306908,0,0,0,0,848
1.988233635,0.346374433,0,0,0,0,0,848.5
0.859714827,0,0,0,0,0,0,849
0.659481491,0.108929507,0,0,0,0,0,849.5
2.280794418,0.499869897,0,0,0.010482689,0,0,850
2.880076782,0.502576802,0,0,0.09945099,0,0,850.5
2.037458919,0.123159284,0,0,0,0,0,851
0.276103754,0.072937249,0,0,0,0,0,851.5
1.728960388,0.584309338,0,0,0,0,0,852
3.070415625,0.811095304,0,0,0,0,0,852.5
3.057500055,0.600011433,0,0,0,0,0,853
1.982582756,0.174875469,0,0,0,0,0,853.5
0.150160595,0.066366434,0,0,0,0,0,854
1.737300353,0.611561,0,0,0,0,0,854.5
2.91097828,0.83268215,0.155625912,0,0,0,0,855
3.110016239,0.755081894,0,0,0,0,0,855.5
2.004503926,0.331078084,0,0,0,0,0,856
0.139894548,0.000160998,0,0,0,0,0,856.5
1.79543158,0.626125905,0,0,0.040484492,0,0,857
3.113128057,0.938073258,0.150440827,0.039350419,0.081886398,0,0,857.5
3.02419749,0.982855476,0.595092997,0.116184755,0.007331054,0,0,858
1.521552939,0.431532474,0.368242323,0.105666042,0,0,0,858.5
0.10134069,0,0,0.066808495,0,0,0,859
1.717784,0.18636581,0,0,0,0,0,859.5
2.090252261,0.335051606,0,0.017441333,0,0,0,860
1.193992026,0.100419945,0,0,0,0,0,860.5
0.285902145,0,0,0,0,0,0,861
1.555613207,0.199662349,0,0,0,0,0,861.5
1.959455285,0.191154321,0,0,0,0,0,862
1.009474591,0,0,0,0,0,0,862.5
0.232193977,0,0.097846073,0,0,0,0,863
1.288944849,0.235044352,0,0,0,0,0,863.5
1.504329205,0.251544686,0,0,0,0,0,864
1.043492466,0.050021153,0,0,0,0,0,864.5
0.069909218,0,0,0,0,0,0,865
0.503815609,0.166721582,0,0,0.021331535,0,0,865.5
0.71923281,0.280031724,0.05022602,0,0.045616065,0,0,866
0.702552505,0.317079655,0.352141859,0,0,0,0,866.5
0.695750882,0.347535131,0.253686014,0,0,0,0,867
0.719798889,0.348204068,0,0,0,0,0,867.5
0.841820812,0.164086579,0,0,0,0,0,868
0.682247039,0,0,0.038110519,0,0,0,868.5
0.160892573,0.084371782,0,0.139430187,0,0,0,869
0.534237991,0.351266904,0,0.020903465,0,0,0,869.5
1.334730224,0.516408827,0.169303778,0,0,0,0,870
1.702212872,0.541336287,0.032424277,0,0,0,0,870.5
1.331735114,0.185885091,0,0,0,0,0,871
0.3672975,0.011574546,0,0,0,0,0,871.5
0.893055564,0.560611121,0,0,0,0,0,872
2.137145641,1.018977166,0.134341791,0,0,0,0,872.5
2.721889136,1.188115817,0.612074616,0.004732708,0,0,0,873
2.481420591,0.963425918,0.557996771,0.165032956,0,0,0,873.5
1.393873467,0.419124659,0,0,0,0,0,874
0.008963672,0.092641407,0,0,0,0,0,874.5
1.452655228,0.62209509,0,0,0,0,0,875
2.264684269,0.903390885,0,0,0,0,0,875.5
2.090407613,0.829512791,0.128927646,0,0,0,0,876
1.221901613,0.414580361,0.137908593,0,0,0,0,876.5
0.066141881,0,0,0,0,0,0,877
0.653213243,0.223583995,0,0,0,0,0,877.5
0.838399098,0.360782135,0,0,0,0,0,878
0.455690162,0.234479421,0.173324815,0,0,0,0,878.5
0.058549076,0.045692251,0.349029984,0,0,0,0,879
0.025384662,0.062409765,0.148186966,0,0,0,0,879.5
0.218604741,0.069091631,0,0,0,0,0,880
0.731285241,0,0,0,0,0,0,880.5
1.051822504,0.15460042,0,0,0,0,0,881
0.951602079,0.417887206,0.18626093,0,0.009924459,0,0,881.5
0.434381059,0.51919237,0.806323815,0.457222039,0,0,0,882
0.336987598,0.449335692,0.933196423,0.04107172,0,0,0,882.5
0.674872737,0.428427412,0.634399182,0,0,0,0,883
0.445221703,0.352181512,0.049323202,0,0,0,0,883.5
0.206735933,0.312535815,0,0,0,0,0,884
0.96369946,0.200844487,0,0,0,0,0,884.5
1.310047055,0.14943839,0,0,0,0,0,885
1.091808822,0.078844248,0.085742391,0,0,0,0,885.5
0.299011557,0.441600631,0.686279291,0.039234283,0,0,0,886
0.686063661,0.715831045,0.736121887,0,0,0,0,886.5
1.271476409,0.677879046,0.142098175,0,0,0,0,887
1.543313589,0.417313516,0,0,0,0,0,887.5
1.340109582,0.101921753,0,0,0,0,0,888
0.758578295,0.053307481,0,0,0.014696021,0,0,888.5
0.05131581,0.501183146,0.300582724,0,0,0,0,889
0.963041447,0.793845794,0.898395751,0,0,0,0,889.5
1.915209597,0.991432849,0.887528439,0.290419412,0,0,0,890
2.362709318,0.854102404,0.172927739,0.090470697,0,0,0,890.5
2.123091137,0.535279059,0,0,0,0,0,891
1.177942306,0,0,0,0,0,0,891.5
0.132760862,0.245230371,0,0,0,0,0,892
1.471647214,0.661779044,0.234125151,0,0,0,0,892.5
2.113121375,0.722107623,0.426035174,0,0,0,0,893
1.895752486,0.391122723,0,0,0,0,0,893.5
0.946378386,0,0,0,0,0,0,894
0.06452448,0.187037294,0,0.052883022,0,0,0,894.5
1.01132884,0.585703141,0,0.029998216,0,0,0,895
1.340575575,0.60824015,0,0,0,0,0,895.5
1.078855857,0.239783253,0.218661134,0,0.052465749,0,0,896
0.717638157,0,0.062514645,0,0.146451992,0,0,896.5
0.627705652,0.090399464,0,0,0,0,0,897
0.563040066,0.239808735,0,0,0,0.016264022,0,897.5
0.26471497,0.232994619,0,0,0,0.023916821,0,898
0.287844016,0.242183921,0,0,0,0,0,898.5
1.163978865,0.207967618,0,0,0,0,0,899
1.780826045,0.109604925,0,0,0,0,0,899.5
1.706150436,0,0,0,0,0,0,900
0.789471724,0.043120984,0,0,0,0,0,900.5
0.469704659,0.393499933,0,0,0,0,0,901
1.64405644,0.638708816,0.377278654,0,0,0,0,901.5
1.987276089,0.489747632,0.355562516,0.298570323,0,0,0,902
1.478782051,0.190169649,0.054598799,0.153557206,0,0,0,902.5
0.406215531,0,0,0,0,0,0,903
0.328457348,0.095321417,0,0,0,0,0,903.5
0.351713667,0.011566843,0,0,0,0,0,904
0.122570735,0,0,0,0,0,0,904.5
1.14404804,0.494115641,0.366593208,0,0,0,0,905
1.848349908,0.8511379,0.509623541,0,0,0,0,905.5
1.672510135,0.790074105,0.05775579,0,0,0,0,906
0.717117201,0.318193197,0,0,0,0,0,906.5
0.572164895,0.037314538,0,0,0,0,0,907
1.984294986,0.65168179,0,0,0,0,0,907.5
2.899257552,1.092009955,0.158047048,0,0,0.014748573,0,908
2.853040555,1.167926634,0.585002851,0,0,0,0,908.5
1.837799568,0.876879515,0.257777895,0,0,0,0,909
0.052624573,0.122079005,0,0,0.001783204,0,0,909.5
1.457888091,0.269979619,0,0,0,0,0,910
2.638045122,0.902531703,0,0,0,0,0,910.5
2.927046183,1.262119286,0,0,0,0,0,911
2.148455052,1.180645131,0.519813702,0,0,0,0,911.5
1.027691854,0.927824101,0.80217021,0,0,0,0,912
0.254856825,0.635336435,0.875282909,0.460322449,0,0,0,912.5
0.08260082,0.386730262,0.6936419,0.50053889,0,0,0,913
0.617117128,0.282747517,0.296067671,0,0,0,0,913.5
0.86688837,0,0,0,0,0,0,914
0.941817928,0,0,0,0,0,0,914.5
0.127250413,0.03655768,0,0,0,0,0,915
1.054624722,0.28740368,0,0,0,0,0,915.5
2.005342079,0.347905816,0,0,0,0,0,916
1.939928099,0.223595078,0,0,0,0,0,916.5
0.959819128,0,0,0,0.060840077,0.008054442,0,917
0.278284511,0.191852983,0,0.096460241,0.107877998,0.086994382,0,917.5
1.820330914,0.581849885,0,0.004969325,0,0.026552934,0,918
2.881765746,0.797659107,0,0,0,0,0,918.5
3.022023483,0.662572617,0,0,0,0,0,919
2.118420217,0.230321559,0,0,0,0,0,919.5
0.672172679,0,0,0,0,0,0,920
1.019610269,0.383746548,0,0,0,0,0,920.5
2.697143841,0.794670547,0,0,0,0,0,921
3.423986407,0.892488286,0,0,0,0,0,921.5
3.144878979,0.723665651,0,0,0,0,0,922
1.7476933,0.201895422,0,0,0,0,0,922.5
0.391131564,0.342169418,0,0.183830727,0,0,0,923
3.037755901,1.331534542,0.493352533,0.584655487,0,0,0,923.5
4.871830188,1.962432893,1.220296197,0.161906379,0,0,0,924
5.625186063,2.203813842,1.40411999,0,0,0,0,924.5
4.88088463,1.941357602,0.625334238,0,0,0,0,925
2.603488647,1.090365891,0,0,0,0,0,925.5
0.329038741,0,0,0,0,0,0,926
2.933627764,0.722031112,0,0,0,0,0,926.5
4.824198134,1.576925115,0.151972191,0,0,0,0,927
4.605371911,1.747248632,0.992365679,0,0,0,0,927.5
2.927326759,1.292748833,0.820443466,0,0,0,0,928
0.440129524,0.600303519,0,0,0,0,0,928.5
1.469314619,0,0,0,0,0.012769801,0,929
2.407689747,0.35221559,0,0,0,0.03326973,0,929.5
1.803702703,0.507011115,0,0,0.077785934,0.024780463,0,930
0.543684023,0.335422991,0,0,0.016101082,0.012141303,0,930.5
0.513286451,0.17085594,0,0,0,0,0,931
0.840631802,0.119683931,0,0,0,0,0,931.5
0.220008727,0.351600051,0.37985118,0,0,0,0,932
0.793098442,0.56684333,0.706657767,0,0,0,0,932.5
1.905539076,0.882697232,0.863269536,0.317854515,0,0,0,933
2.084882851,0.866430622,0.541529486,0.269330869,0,0,0,933.5
1.698513472,0.655290949,0.055763779,0.023857027,0.027928044,0,0,934
0.594213583,0.250537946,0,0,0.031456011,0,0,934.5
0.512204478,0,0,0,0,0,0,935
1.290816657,0.159344194,0,0,0,0,0,935.5
1.366427359,0.267933443,0,0,0,0,0,936
0.75733702,0.200398409,0,0,0,0,0,936.5
0.181312457,0.018451134,0,0,0,0,0,937
1.159960355,0,0,0,0,0,0,937.5
1.848545544,0.282472631,0,0,0,0,0,938
1.912883614,0.360357298,0,0,0,0,0,938.5
1.457394157,0.46652241,0.208640943,0,0,0,0,939
0.567268766,0.458736207,0.404516148,0,0,0,0,939.5
0.243725812,0.444602464,0.549664759,0.104935867,0,0,0,940
0.731856736,0.382175046,0.58058612,0.456828675,0,0,0,940.5
0.590661327,0.514503379,0.593301487,0.502277047,0,0,0,941
0.164444455,0.590485962,0.540101836,0.252349056,0,0,0,941.5
0.568896219,0.602255421,0.378062779,0,0,0,0,942
1.321952888,0.629896088,0,0,0.12042114,0,0,942.5
1.67473142,0.464545878,0,0,0,0,0,943
1.483676739,0.087271132,0,0,0,0,0,943.5
1.000839464,0,0,0,0,0,0,944
0.234279949,0.094425617,0,0,0,0,0,944.5
0.367501107,0.282999627,0,0,0,0,0,945
0.752308038,0.32983957,0,0,0,0,0,945.5
0.635428298,0.03832812,0,0,0,0,0,946
0.319381418,0,0,0,0,0,0,946.5
0.177246155,0.421239062,0,0,0,0,0,947
0.991912339,0.736079987,0.270486789,0,0,0,0,947.5
1.468073249,1.082235916,0.912043855,0.118880156,0,0,0,948
1.481765794,0.974061946,0.977761306,0.588861241,0.086594681,0,0,948.5
1.035810919,0.696223896,0.582759534,0.433586897,0.084315454,0.033348728,0,949
0.134129833,0.11552948,0,0,0,0,0,949.5
0.265340557,0.006347079,0,0,0,0,0,950
0.247795245,0.136287871,0,0,0,0,0,950.5
0.307236865,0.078441832,0,0,0,0,0,951
1.217766509,0.057916359,0,0,0,0,0,951.5
1.581609251,0.126399415,0,0,0,0,0,952
1.391853712,0.432907518,0,0,0,0,0,952.5
0.413953117,0.448217369,0.271082196,0,0,0,0,953
0.676253967,0.449706888,0.471263776,0.293809741,0,0,0,953.5
1.349179501,0.441131054,0.610334706,0.441140003,0,0,0,954
1.025268908,0.589193525,0.729385872,0.187508549,0,0,0,954.5
0.423073287,0.761020304,0.786176928,0,0,0,0,955
2.595823929,1.119177965,0.631806655,0,0,0,0,955.5
4.223004656,1.133433342,0.139596357,0,0,0.041163191,0,956
4.3613668,0.801415217,0,0,0,0.018861691,0,956.5
2.467101174,0.160575055,0,0,0,0,0,957
0.67207777,0.583817932,0,0,0.196577507,0,0,957.5
4.242104396,1.554575203,0.757572817,0,0,0,0,958
6.060616958,1.818622625,1.023116636,0,0,0,0,958.5
5.317732395,1.252165501,0.12418422,0,0,0,0,959
1.985380864,0.101079658,0,0.211456284,0,0,0,959.5
2.412358054,1.291977309,0,0.623954021,0,0,0,960
6.35977801,2.659884451,1.576779698,0.308243834,0,0,0,960.5
8.146174746,3.122348657,2.37680126,0,0,0,0,961
6.796964331,2.424565694,1.660382476,0,0,0,0,961.5
2.933947714,0.982265365,0,0,0,0,0,962
1.5790893,0.192289348,0,0,0,0,0,962.5
5.110312088,1.61536135,0.350705591,0,0,0,0,963
6.245582667,2.121911742,1.258844382,0,0,0,0,963.5
4.63118545,1.721574103,1.070834008,0,0.100513042,0,0,964
1.233494106,0.696135107,0,0,0,0,0,964.5
2.273301552,0.318271596,0,0,0,0,0,965
4.632355986,1.170495938,0,0,0,0,0,965.5
4.980964098,1.514934906,0.600922419,0,0,0,0,966
3.229173165,1.25918841,0.754103446,0,0,0,0,966.5
0.270345683,0.497111896,0.306700654,0,0,0,0,967
2.45661694,0.199256436,0,0,0,0,0,967.5
3.862004581,0.612630375,0,0,0,0,0,968
3.567074791,0.739825741,0,0,0,0,0,968.5
1.66951133,0.354730758,0,0.09830475,0,0,0,969
0.869684814,0.03041336,0,0.271789431,0,0,0,969.5
3.004411943,0.698533019,0.197949842,0.407533709,0.099252844,0,0,970
4.183107285,1.102142761,0.701388903,0.398795278,0.190094798,0,0,970.5
4.117386174,1.37054895,1.042979803,0.225494491,0.014833355,0,0,971
2.857010137,1.222602618,0.873161411,0,0,0,0,971.5
1.104547736,0.745935726,0.197823978,0,0,0,0,972
0.587689477,0.245342432,0,0,0,0,0,972.5
1.85989931,0.087126552,0,0,0,0,0,973
2.373313887,0.332819731,0,0,0,0,0,973.5
2.157073035,0.515499654,0,0,0,0,0,974
1.233380652,0.488485368,0.388286556,0,0,0,0,974.5
0.085978675,0.36534657,0.503911859,0,0,0,0,975
0.864346584,0.158842837,0.243217552,0.207311473,0,0,0,975.5
1.45255368,0,0,0,0.119002298,0,0,976
1.346910405,0,0,0,0.097051289,0,0,976.5
0.497153554,0.075679178,0,0,0,0,0,977
0.383056091,0.133250462,0,0,0,0,0,977.5
1.302816601,0.183081948,0,0,0,0,0,978
1.258105438,0.120106667,0,0,0,0,0,978.5
0.456365496,0.251193382,0,0,0,0,0,979
0.938869673,0.94447685,0.725846292,0,0,0,0,979.5
2.404051064,1.56092666,1.318169018,0,0,0,0,980
3.23573504,1.751491418,1.265525384,0.564299892,0,0,0,980.5
3.313228652,1.515968864,0.410831093,0.395663612,0,0,0,981
2.429895299,0.797248493,0,0,0,0,0,981.5
0.809723234,0,0,0,0.044855855,0,0,982
0.745838237,0.633216138,0,0,0.15597765,0,0,982.5
2.343795311,1.373393087,0.666264277,0,0,0,0,983
3.087566449,1.524983616,0.877360429,0,0,0,0,983.5
2.943308344,1.146008378,0.152414213,0,0,0,0,984
1.855908948,0.378359706,0,0,0,0,0,984.5
0.221710813,0.137443511,0,0,0,0,0,985
1.785471732,1.240685787,0.12832813,0,0,0,0,985.5
3.543099363,1.997143647,1.25402833,0.248862439,0,0,0,986
4.321724209,2.06955623,1.408387331,0.224692128,0,0,0,986.5
3.768771743,1.563014847,0.427551715,0,0,0,0,987
2.203805742,0.622223989,0,0,0,0,0,987.5
0.028895399,0.103887611,0,0,0,0,0,988
2.205426849,1.165197921,0.0361472,0,0,0,0,988.5
3.625468267,1.679141272,0.868352704,0,0,0,0,989
3.673417301,1.539039438,0.599464897,0,0.009438593,0,0,989.5
2.26452304,0.750374537,0,0,0,0,0,990
0.053548179,0,0,0,0,0,0,990.5
2.323877707,0.911242248,0,0,0,0,0,991
3.577440031,1.504432375,0.634128884,0.230633162,0,0,0,991.5
3.355440045,1.472643089,0.780194816,0.013621614,0,0,0,992
1.521107575,0.738643111,0,0,0,0,0,992.5
0.697394815,0.028332828,0,0,0,0,0,993
2.580728019,0.750364556,0,0,0,0,0,993.5
3.14832828,1.119944933,0,0,0,0,0,994
2.376445874,1.012220825,0.419885367,0,0,0,0,994.5
0.564361014,0.392264839,0.056267869,0,0,0,0,995
1.221038378,0.136022747,0,0,0,0,0,995.5
2.579059403,0.65270689,0,0,0,0,0,996
2.911258745,0.991184251,0,0,0,0,0,996.5
2.277020951,0.975212213,0,0,0,0,0,997
0.98454678,0.737586614,0.349303161,0,0.074894012,0,0,997.5
0.187490855,0.484518465,0.673598445,0.024897068,0.008269439,0,0,998
1.047672646,0.129499848,0.660007384,0.52672305,0,0,0,998.5
1.275294341,0.048628047,0.487794762,0.426167464,0,0,0,999
0.595830929,0.055818953,0.471098377,0,0,0,0,999.5
0.163235324,0.15407266,0.137833934,0,0,0,0,1000
0.922308207,0.247156311,0,0,0,0,0,1000.5
1.354617535,0.316086373,0,0,0,0,0,1001
1.440987891,0.394576603,0,0,0,0,0,1001.5
1.054404938,0.286609678,0,0,0,0,0,1002
0.539051776,0.115412799,0,0,0,0,0,1002.5
0.019080954,0,0,0.039419038,0,0,0,1003
0.504784759,0.201340582,0.131958409,0.280875755,0.11761642,0.029440848,0,1003.5
0.937578546,0.454878735,0.310345857,0,0.116448839,0,0,1004
1.325846255,0.542853597,0.255388416,0,0,0,0,1004.5
1.382744219,0.504256,0.015165823,0,0,0,0,1005
1.128755801,0.276122944,0,0,0,0,0,1005.5
0.424756922,0,0,0,0,0,0,1006
0.597993535,0.26631488,0,0,0,0,0,1006.5
1.672830513,0.82111169,0,0,0,0,0,1007
2.277901532,0.932791611,0.48291633,0,0,0,0,1007.5
2.196993304,0.913623034,0.752232827,0,0,0,0,1008
1.519018621,0.658355452,0.735965519,0.209323168,0,0,0,1008.5
0.404598828,0.318887585,0.510364303,0.489678214,0,0,0,1009
0.422135745,0.058807568,0.247074991,0.347309103,0,0,0,1009.5
0.836081602,0,0.049911511,0.027626781,0,0,0,1010
